EmployeeID,PerformanceScore,ProjectsCompleted,ProjectsDue,TechnicalSkillsScore,SoftSkillsScore,TrainingProgramsCompleted,Attendance,YearsWithCompany,YearsInIndustry,PromotionScore,PromotionStatus
64,4.082271075,11,2,2.760987727,3.65805433,4,97.98409857,2,18,6.94217966,No
65,4.295375372,7,1,3.482009249,3.856141153,4,95.34936886,8,4,6.722504163,No
66,4.603938251,14,0,2.801241987,3.472730145,9,93.02946562,2,16,7.718389082,Yes
67,2.57161854,5,4,2.53730555,3.48107099,6,98.31699033,6,8,5.829652754,No
68,2.299518256,14,3,2.64629657,3.094491998,4,93.07259884,2,6,5.721892669,No
69,4.060228355,3,9,4.564832074,2.80924718,5,94.98426901,9,3,6.821036672,No
70,3.265747792,12,6,2.123656661,2.372322894,8,95.65223137,7,11,6.976276951,No
71,4.664385222,9,3,4.69207734,3.397029442,9,89.2665671,8,11,8.283940433,Yes
72,4.803570554,7,7,4.661147658,3.103412306,6,93.69775021,0,19,7.493329268,No
73,2.763180629,10,2,2.790375638,2.967665401,9,88.1946754,3,4,5.941030649,No
74,2.446668154,9,5,3.59030906,2.846854394,0,85.90012204,3,2,4.949477502,No
75,2.974892632,13,7,3.170105737,2.743247959,8,85.22055267,0,18,6.93417203,No
76,4.263447811,6,0,2.898890468,2.439505718,5,91.68362011,4,16,6.208696587,No
77,3.811914729,2,5,3.743121307,4.014626441,1,85.21363386,0,16,5.649506421,No
78,4.972473552,12,8,4.027715776,2.389771425,1,87.04991874,7,18,7.851150809,Yes
79,3.433296301,9,9,4.985899181,4.684323809,3,86.74882706,8,12,7.959960572,Yes
80,3.732759615,7,0,3.812560446,2.445925709,5,95.30402938,0,10,5.655561331,No
81,4.933055751,4,0,2.974741748,3.000102796,5,96.28533474,1,12,5.955346054,Yes
82,3.658403221,3,1,2.405211226,3.466121089,6,93.77804934,1,2,4.922566539,No
83,4.442318514,2,5,3.767889514,3.856918374,4,97.20912589,1,15,6.373553763,No
84,2.095621011,8,5,3.050790987,2.415526962,2,91.79627758,5,15,5.598278662,No
85,4.099845646,2,4,3.462709951,4.704650042,9,97.31758526,1,2,6.216204314,No
86,3.047923845,10,9,2.687356324,4.768851756,2,86.67110445,9,11,7.195341169,No
87,3.183537094,12,7,2.310301274,4.506540865,7,93.25600605,9,12,7.834987439,Yes
88,2.359764887,14,6,3.213571298,3.972947895,2,96.74255376,4,10,6.59360304,No
89,3.846594221,12,7,3.899182213,3.189348649,4,91.33289299,5,1,6.805760631,No
90,3.816802529,4,0,2.012705255,3.537185615,1,98.24867286,5,16,5.61151836,No
91,4.975350462,13,7,4.231806512,4.852699152,7,86.9634305,7,15,9.211901461,Yes
92,4.934687078,14,7,2.404712459,3.736255333,8,98.03735234,7,11,8.431041616,Yes
93,4.065686986,4,4,3.625617027,4.038024666,6,99.07201279,4,14,6.914834297,No
94,2.870330173,9,2,2.023930031,2.258288772,7,95.06312105,3,17,5.964673699,No
95,2.675893142,14,1,4.132718717,2.899598618,7,86.65370127,4,16,7.166472511,No
96,3.836614999,10,6,4.460835121,2.209048551,2,98.86071172,7,9,6.902664334,No
97,2.799313436,1,8,3.292614648,4.825632678,9,85.36748296,3,13,6.478005563,Yes
98,3.978567618,10,5,2.696905908,3.56648129,4,97.95144289,1,9,6.328403751,No
99,4.82539355,14,9,4.233227137,4.300301538,0,92.8565685,6,14,8.322290479,Yes
100,4.995507571,7,8,3.313191466,2.707189431,1,97.79680158,2,18,6.757431512,No
101,4.331442871,9,5,2.574563688,3.714569162,7,97.04554199,4,8,6.975110769,No
102,3.571922827,9,1,4.377762535,2.251629831,5,85.09763295,8,10,6.759164674,No
103,3.454218141,7,2,3.69438802,3.239834013,1,86.32759908,2,1,5.07230588,No
104,3.535143201,6,7,2.323278808,4.481184398,7,92.75170467,9,13,7.376647625,No
105,2.205752178,12,6,4.017084175,4.429031361,9,99.19847084,1,9,7.111963181,No
106,4.651477193,13,1,4.975438913,2.452633579,6,90.48665174,2,8,7.252233361,No
107,4.986011563,12,2,3.626239952,4.369915252,5,97.05025916,3,12,7.781047011,No
108,2.935109636,14,8,4.889663269,4.992550151,2,93.37198238,8,11,8.206930628,No
109,2.386169598,9,2,2.106566612,2.878952079,9,96.15947471,9,6,6.302904493,No
110,2.40694887,7,7,4.599430832,2.2876483,5,98.13964214,3,12,6.169656434,No
111,4.166873839,9,1,3.100919269,3.180487356,6,92.08778047,5,3,6.372007557,No
112,2.92048847,13,0,3.888641739,3.540685813,5,99.55919686,3,7,6.542752707,No
113,4.401849118,10,6,3.628323623,4.732026733,9,94.75378435,9,9,8.594828713,Yes
114,3.413455613,1,5,4.784792601,2.894770718,4,95.7290043,1,5,5.330175369,No
115,2.047462223,4,0,3.6509472,3.772631561,0,85.59715333,8,9,5.193174579,No
116,3.231385967,4,4,2.586007414,3.192437128,6,99.96817781,2,14,5.802294172,No
117,4.170439586,13,9,2.713014393,3.349603626,3,88.87255642,8,4,7.201292485,No
118,4.041058192,12,3,4.47162249,2.715576619,1,94.12897489,3,16,6.952803418,No
119,2.941667652,10,1,3.909560837,2.413534195,4,91.21245347,5,19,6.612704232,No
120,4.297771717,14,7,4.336296855,4.621105206,4,89.17727924,7,9,8.382897419,No
121,4.763459684,10,7,4.496910721,3.726332515,4,99.75634368,4,15,8.008600315,Yes
122,3.852826719,8,8,4.122738965,3.621759628,5,85.80617551,5,17,7.529977275,Yes
123,2.308935168,12,3,4.245645379,4.221288091,7,97.75224931,1,3,6.44034118,No
124,3.673802965,2,0,4.898547803,3.303599356,0,92.98859872,9,9,6.048021246,No
125,4.390850487,6,8,4.111987871,4.914338186,6,93.4321935,4,19,8.096972645,Yes
126,2.336040869,1,8,2.482342231,2.214314507,9,95.5594011,9,2,5.455857839,No
127,2.527335868,4,3,4.925695539,3.511906116,8,97.37845014,3,16,6.675564926,No
128,2.394115142,14,1,4.925765946,3.903556093,3,99.95938438,0,7,6.363346454,No
129,4.023114821,3,4,4.90847721,4.342172214,2,97.22042005,2,14,6.581582299,No
130,4.337119634,12,1,4.635961827,3.248949001,6,93.76278628,1,17,7.551733426,Yes
131,2.364103901,7,2,3.228743656,4.550484904,5,89.33844018,6,4,5.966654179,No
132,4.724291516,12,1,3.319997593,3.6305756,4,89.23608294,9,12,7.784542627,Yes
133,3.887078807,14,1,2.519752729,4.49233646,7,98.74284012,0,3,6.637114751,No
134,2.891739825,9,5,3.383886648,2.867825423,1,89.40161736,1,17,5.785248282,No
135,4.363128096,2,1,2.715114593,2.106036904,3,94.99125727,7,10,5.548777431,No
136,4.790859292,1,5,4.109658719,4.536477317,9,99.40668611,0,7,6.757593076,No
137,3.035545619,4,9,2.05491212,3.334768633,0,96.64493559,1,11,4.916201737,No
138,2.94532299,14,3,4.671676543,3.354252674,1,87.17836497,7,19,7.513247166,Yes
139,3.495317818,4,0,2.836306979,2.885832724,7,91.95792098,9,17,6.635434296,No
140,3.641848406,7,6,3.801075873,4.618478819,4,87.12146875,4,7,6.694463732,No
141,4.262910554,3,0,4.324443767,4.559210036,2,89.69296368,8,5,6.462887576,No
142,2.654643214,2,4,3.637766343,2.698205077,9,98.68669395,0,1,4.938655166,No
143,4.91655205,8,2,3.467257852,2.842332493,7,89.72691846,7,4,6.991102948,No
144,4.491814402,12,5,2.401549505,2.245295684,5,96.4519006,9,10,7.300661732,No
145,3.035222384,6,8,3.812150794,3.455505978,4,88.54158434,2,9,6.007454293,No
146,4.535208326,12,3,4.010504114,4.995844453,1,86.26378965,7,13,7.904106164,Yes
147,4.29294445,11,2,4.911028583,4.002149948,6,99.35768928,6,12,8.139303052,Yes
148,4.992702137,4,0,2.740094,4.474561332,5,85.68958552,5,14,6.794897955,No
149,3.541240394,2,5,2.193631213,2.080619647,9,91.74950688,2,1,4.883183777,No
150,4.317822543,7,1,3.890177129,2.491898825,6,96.63292072,4,16,6.86685294,No
151,3.269378708,1,9,2.662385841,4.871764297,7,93.7069319,0,13,6.074197005,No
152,4.037797551,8,1,4.616733319,2.944974249,8,91.35194795,3,3,6.589966142,No
153,2.21966915,7,4,3.196392834,2.027590136,4,99.56709437,3,2,4.805996653,No
154,2.39747853,10,7,3.329841102,2.156780458,0,90.26206784,2,13,5.374348767,No
155,3.829686174,10,6,2.162764857,4.205595903,5,91.13354661,1,16,6.767251998,No
156,2.056904803,8,5,4.027671117,4.19007146,9,97.7125154,6,8,6.987849781,No
157,3.070794789,9,2,2.895920143,3.724992911,5,97.95470855,9,18,7.272459719,No
158,2.095439147,2,1,3.870281175,4.848700649,2,97.53725505,2,4,4.854054787,No
159,2.268057259,14,3,4.778068071,3.330696409,0,95.19617218,8,13,7.031580051,No
160,2.831972877,11,8,2.963658406,3.823291079,6,95.71647415,2,17,7.032680342,No
161,2.694070009,9,6,2.558354848,2.122699291,0,88.41193039,9,8,5.584735228,No
162,4.452571453,1,7,2.222214202,2.52414761,0,94.61178884,3,4,4.690946408,No
163,2.733082543,10,2,4.016774454,2.253518711,7,92.33648276,6,14,6.761512026,No
164,3.118670173,6,4,4.96211445,3.786354776,2,90.73425263,9,3,6.524547687,No
165,3.267505777,10,1,2.680043384,2.254610602,8,97.9160351,7,13,6.744420178,No
166,2.238960593,11,2,3.964868069,4.870469889,7,98.36276897,5,4,6.863355503,No
167,3.103728448,12,1,3.062178825,4.16704762,1,98.16862921,2,18,6.5139172,No
168,4.854972176,12,8,4.078177269,2.271390685,7,99.82353934,4,2,7.40273876,No
169,2.181773761,2,0,3.25566154,2.257426555,6,85.2959216,6,10,4.953529986,No
170,4.961235368,10,1,4.794357988,4.63129657,5,92.85092831,5,11,8.057742404,Yes
171,3.321226534,1,8,2.341619314,3.238272008,6,97.00558167,7,12,6.10012452,No
172,3.200806758,10,4,2.092867989,3.793027587,1,88.17157317,0,13,5.516779539,No
173,3.223041215,6,8,4.68806392,4.75786065,4,88.64508428,9,12,7.672769679,Yes
174,2.443608601,13,8,4.562221494,2.629954491,2,90.98251796,3,10,6.464094348,No
175,2.620415327,13,1,4.955433929,3.670139696,7,97.42542327,4,12,7.412306319,No
176,2.93713356,13,7,3.731749104,3.794593512,1,87.64280783,3,14,6.772216869,No
177,2.726677677,7,2,4.108572914,2.217776564,1,88.36640265,5,13,5.584228245,No
178,4.483003664,13,2,4.666723508,3.502375097,4,95.77186611,7,19,8.427840185,Yes
179,4.142151229,10,1,4.926916419,2.909912901,3,94.52707502,8,19,7.802386387,Yes
180,3.434812415,8,2,4.710489038,3.777740883,4,97.27161298,9,1,6.858440064,No
181,3.837076346,5,2,4.483925267,2.285978689,1,90.59274586,5,17,6.179958089,No
182,2.455018797,14,5,2.955503845,4.211301313,8,96.04211789,9,5,7.522294806,Yes
183,3.537550801,3,3,2.875143983,3.316464753,2,89.57428689,3,19,5.711896604,No
184,2.783590433,2,8,2.982817142,2.104769951,3,86.97797979,5,13,5.241321673,No
185,4.931149127,3,8,2.3291008,2.994089285,3,98.60832123,7,7,6.300905068,No
186,3.308002286,14,6,2.655881637,2.84508989,0,89.39584164,5,17,6.651076519,No
187,3.363682212,14,8,2.578093309,3.22686138,5,91.31405738,7,12,7.40945659,No
188,2.125221555,3,5,4.93559681,4.319025333,9,93.34482206,6,9,6.799480712,No
189,4.347858062,12,0,4.030008714,4.649165121,0,90.78783964,8,17,7.820113789,Yes
190,3.788768755,5,6,3.137564474,3.581759413,1,94.05836839,3,5,5.54853831,No
191,4.273441191,7,1,3.238775959,4.161876637,9,99.54740416,3,16,7.406040449,No
192,3.815815284,11,7,4.206446858,2.670180368,6,93.47947169,9,6,7.574025456,Yes
193,4.187538551,4,1,2.861027446,3.669002076,7,92.90030525,4,15,6.55885022,No
194,4.80919273,12,5,3.109555235,4.620041077,5,89.48484239,3,17,7.984522204,Yes
195,3.889074642,9,5,2.615762932,4.319203255,3,90.44084251,7,7,6.762123794,No
196,2.92291251,3,6,3.486886665,4.024220685,6,85.50406634,2,15,6.11066235,No
197,4.544984093,11,7,3.79606968,2.823337999,0,95.85925806,6,18,7.443903927,No
198,4.15602474,7,5,3.752223086,3.902225523,4,92.38489572,0,15,6.644289342,No
199,3.896166418,12,9,3.386539313,2.47829844,0,88.77050415,8,8,6.801278741,No
200,2.992350705,1,5,2.690849042,2.702709479,4,97.26457708,6,11,5.362632724,No
201,2.180346173,4,4,3.178974706,2.412373081,3,89.35030471,5,13,5.166938918,No
202,3.174647202,13,0,4.536016738,4.156009143,8,92.25266542,0,15,7.371213015,No
203,3.616039208,8,0,4.878072334,3.142918895,9,85.2216564,9,4,7.272598789,No
204,3.943050023,3,8,4.51756559,4.726311943,2,93.17346384,4,7,6.583078643,No
205,2.946689179,10,9,3.253659886,4.123845786,5,87.93364396,8,13,7.471347355,No
206,2.646987437,10,4,3.279062177,4.665591948,0,89.03663098,5,2,5.787027029,No
207,4.333426833,4,0,4.859414488,3.192215034,7,96.37490431,5,5,6.637671289,No
208,3.360405781,14,1,4.126013658,3.683468765,9,98.79010168,3,8,7.484849576,No
209,2.873030802,11,0,3.0976588,4.034320453,6,99.12592219,1,6,6.052203999,No
210,3.414391505,1,6,2.688796917,2.498493328,8,95.32239085,4,1,5.201608687,No
211,2.463531195,4,8,4.255475974,2.279210566,3,89.42572646,5,6,5.41776994,No
212,3.607562038,3,7,4.330844374,2.155313167,3,89.925767,2,1,5.106634342,No
213,4.925684113,6,8,3.982674865,3.314902042,6,89.52530401,8,17,8.092393742,Yes
214,4.489887494,3,5,2.931054689,4.700448153,8,90.23180829,0,10,6.502134961,No
215,3.863897746,1,7,4.76323285,3.570357046,7,98.69060592,6,10,6.999334106,No
216,3.941724711,3,9,3.009202429,3.833452369,8,95.71369003,6,16,7.305712614,No
217,3.737595374,11,0,2.536905024,2.356452234,6,88.42521571,6,2,5.964465404,No
218,3.543713987,14,0,3.19620373,4.566360743,0,98.64037077,4,2,6.282366247,No
219,2.48765332,14,2,2.786198408,3.599828639,8,99.63077911,3,15,7.029984251,No
220,2.695742734,11,8,3.150195928,3.111283889,4,85.6107549,5,10,6.46218025,No
221,3.437512433,1,2,3.658078882,2.576036095,2,86.8507347,2,7,4.644866279,No
222,3.752007458,2,2,2.050330988,3.337640078,2,92.56751131,9,1,5.143120043,No
223,4.945709293,14,1,4.862256636,3.384019156,0,96.06276395,5,8,7.444957837,No
224,4.484906543,1,0,3.666484908,2.235963701,4,89.48741146,7,17,6.183673236,No
225,2.795952446,5,4,3.745809819,3.775386938,6,86.73740402,3,2,5.605313711,No
226,4.36862714,4,4,3.304362771,2.289424382,3,89.65127032,4,16,6.092776397,No
227,3.161781969,6,0,4.826036973,2.445086727,8,99.63249622,9,8,6.895173523,No
228,3.587890152,1,2,3.288833926,2.643912717,0,85.04020697,4,12,4.859659483,No
229,4.418514395,4,5,3.201228524,3.209804413,6,92.51568168,1,10,6.12631523,No
230,4.704757197,10,4,3.143710459,4.170581837,7,93.55455851,8,11,8.051000981,Yes
231,4.487633143,2,1,4.90614471,3.597216547,6,91.72272539,5,4,6.465878696,No
232,3.72654996,12,2,2.454205052,4.997459982,9,93.17808995,7,8,7.7535562,Yes
233,3.713105005,7,9,3.001441488,4.047808165,9,86.34827845,5,19,7.769055238,Yes
234,2.686879854,10,3,3.365588542,2.577851125,0,94.79231925,6,8,5.63152157,No
235,4.964512483,5,5,3.243675772,2.013288596,2,99.12473273,3,16,6.265294513,No
236,3.656952118,5,0,3.552784545,2.938004319,3,92.46261231,1,1,4.867433938,No
237,2.460458216,2,5,3.104337639,3.099594264,2,85.52814754,9,16,5.75703531,No
238,3.518293456,12,8,4.204711351,2.036091715,9,86.65437096,1,5,6.750529748,No
239,3.978043119,2,5,2.352427818,2.752950913,4,98.80890495,7,16,6.167310894,No
240,3.691449859,12,6,2.983846716,4.141727031,7,95.61982895,1,6,6.894176339,No
241,4.296760879,1,4,3.099905029,3.30655806,3,95.81924558,6,10,5.954516603,No
242,2.60189155,12,2,4.247422372,3.291246042,1,92.44906812,6,6,6.217240474,No
243,2.478062269,13,8,3.206118232,4.928478445,6,99.0610436,6,6,7.408638741,No
244,2.705872204,12,5,2.209020518,2.351591621,5,89.76319179,3,13,5.98475592,No
245,4.574717296,10,8,3.885669884,2.74940098,9,98.82065794,0,17,7.719224615,Yes
246,2.683921862,5,7,2.149259758,4.759790999,2,97.34746951,1,1,4.930326754,No
247,2.639317478,10,4,4.494938052,2.8160952,6,97.87635255,4,7,6.50098345,No
248,2.508880646,4,3,2.503175275,3.932370075,3,96.65504302,1,16,5.282554097,No
249,4.914777184,9,9,2.124254649,2.376788247,3,87.71856315,2,13,6.39746117,No
250,2.479548348,4,7,2.704834079,4.774406495,1,98.31191151,2,2,4.974767435,No
251,4.15838347,9,0,2.639502546,3.666002546,8,93.95524173,0,9,6.321416147,No
252,2.404972778,3,6,2.843006535,4.656631925,5,99.02494245,0,9,5.386131745,Yes
253,3.29719253,12,8,2.301458979,2.506108082,2,95.52703564,7,7,6.314997269,No
254,3.369746201,5,8,4.993982133,2.324697675,0,99.43609085,0,15,5.807495746,No
255,2.285612927,1,9,2.535217455,3.424332991,7,97.9884215,5,9,5.596154921,No
256,2.33925354,13,0,3.364096781,2.058513371,7,96.42082151,7,7,6.343526428,No
257,4.829822837,7,6,4.350484445,3.727011648,9,89.5107511,2,16,7.897946292,Yes
258,3.504478294,9,0,2.914124119,3.406044794,8,90.19595367,4,13,6.681631102,No
259,4.119052336,4,8,4.370949977,4.934679671,1,87.08411697,7,5,6.835213655,No
260,2.521496454,9,4,2.667541477,3.110840872,2,89.77718543,4,12,5.624638691,Yes
261,4.243452479,9,2,4.176437215,2.016306539,2,94.06342226,6,3,6.118018792,No
262,4.323446888,4,7,4.092236096,3.053852927,6,99.2673518,3,12,6.814918245,No
263,4.403321515,10,9,3.749738415,3.56516702,8,92.57940656,4,8,7.707408839,Yes
264,4.592019791,1,2,4.796618529,4.839579633,9,95.30966947,7,17,8.071532648,Yes
265,4.37616205,13,3,4.826917623,2.281523653,1,96.26847042,9,6,7.332106301,No
266,2.641288421,5,7,2.673450448,4.359667886,7,95.76513873,6,9,6.466834086,No
267,3.25418733,8,6,3.340150401,3.751069127,9,91.79427744,8,17,7.821085486,Yes
268,3.716084092,6,7,2.300703928,2.646062043,1,86.68802875,8,11,5.948037116,No
269,2.491105073,5,7,4.341069359,2.505110155,0,93.27629366,5,13,5.647428077,No
270,2.333078985,13,6,3.409933172,4.454294581,4,95.10236221,1,16,6.867374837,No
271,4.053926705,2,4,4.596207911,4.708009446,8,88.90834562,9,12,7.758895118,Yes
272,2.749974889,1,0,3.566461147,2.90617101,6,94.92004347,4,19,5.709234005,No
273,4.839898702,11,7,4.109262724,2.787993256,6,96.90636726,6,3,7.532888335,Yes
274,2.647368979,5,7,2.489573864,3.910663568,5,96.45514246,0,18,5.871097397,No
275,2.185638929,4,6,3.960149489,3.284115733,8,91.89342212,7,17,6.78977763,No
276,4.117497364,7,5,3.764961945,4.451007769,5,93.67936164,6,17,7.693320318,Yes
277,4.184625876,2,1,2.768185552,3.202226589,9,94.24940873,2,6,5.715321046,No
278,2.606609245,6,7,3.692796127,2.923841887,6,86.37678794,5,3,5.803265972,No
279,2.354538038,9,8,2.342713492,2.138873774,8,85.61425287,4,10,5.910813205,No
280,4.787362072,13,1,3.07808,4.600758484,6,87.9007554,4,17,8.05186458,Yes
281,3.293182614,6,2,4.923246549,3.112029107,2,90.25198193,9,6,6.422355511,No
282,3.436860007,13,5,2.306990065,3.334111049,5,87.02908825,5,6,6.534900725,No
283,2.294977837,1,0,4.853344728,2.684964327,4,86.74425374,6,7,5.13360141,No
284,2.890222373,5,3,2.778570887,3.601366097,1,88.59198865,6,8,5.357201292,No
285,3.205871349,2,4,3.132917899,4.373102055,9,95.19770065,6,16,6.931411399,No
286,3.133244289,8,6,2.293167894,2.571709822,6,98.24119857,7,13,6.514304178,No
287,4.479552581,5,2,3.846520456,4.250909251,7,99.19190929,2,17,7.254531276,No
288,3.969084007,5,7,4.948267278,3.228582501,3,98.07538021,0,10,6.305694636,No
289,4.150480525,3,7,2.955486155,2.544679476,2,90.11861896,2,7,5.234611047,No
290,3.900491402,6,6,2.778799416,2.656875318,5,97.48582852,8,12,6.717971134,No
291,2.365238822,8,7,4.642125191,2.906789326,5,94.39151897,1,4,5.777909803,No
292,4.875420185,10,6,3.558913504,3.764231293,3,94.16541446,4,13,7.455515867,No
293,3.308536077,1,3,4.497138301,2.592071644,9,99.53842197,1,6,5.646271743,No
294,4.705255486,5,8,2.032381775,3.998143737,2,89.4543925,6,9,6.428535603,No
295,2.615513653,14,9,2.677049536,4.002444542,6,86.33947846,5,6,6.951460165,No
296,2.852971806,3,3,3.900396302,2.876691018,8,90.50518964,2,9,5.652257375,No
297,3.110023156,3,2,4.636566348,3.072196406,8,85.16054875,4,13,6.358327118,No
298,2.62061199,1,0,4.54146101,2.129691144,3,96.50883936,3,4,4.499014675,No
299,3.105279765,14,3,2.34613543,3.818006605,6,97.88200708,3,14,6.973683359,No
300,4.165007048,9,4,2.756610971,4.240411137,8,98.53615523,8,11,7.793704087,Yes
301,4.907022806,12,9,4.942777307,4.642007754,8,95.26256145,8,7,9.222783371,Yes
302,3.682985339,13,9,3.651414324,4.89424841,2,85.89360295,7,4,7.499212444,No
303,2.060154114,12,9,2.63077485,3.056004125,5,88.45178104,9,4,6.466409306,No
304,2.719988205,3,4,3.699404926,3.995977986,0,91.08344452,2,2,4.678580774,No
305,4.548616956,14,9,2.301984833,2.587190876,2,89.30699185,1,8,6.433655378,Yes
306,4.709241481,2,6,3.548776273,4.746763485,2,88.80974865,5,1,6.138484411,No
307,2.578493057,1,6,4.869271974,2.724100189,3,86.3383014,6,1,5.165899656,No
308,3.946428707,7,8,2.487623316,2.437217479,0,99.99451405,6,13,6.101290499,No
309,3.077291511,14,0,3.279216815,2.43721227,7,97.82326638,1,2,5.918230041,No
310,2.114280102,1,9,2.149331725,4.507283083,5,89.04948938,1,6,4.822790375,No
