EmployeeID,Age,Qualifications,Tasks_completed,Due_tasks,Awards,Experience,AttendancePercentage,PromotionScore,promoted
69,33,PhD,4,3,8,17,90.26,58.84,0
70,44,PhD,54,0,3,12,60.12,54.71,0
71,33,B.Tech,4,15,9,3,59.07,25.26,0
72,47,M.Tech,21,12,6,25,86.36,60.26,1
73,55,PhD,52,14,14,13,92.17,75.88,1
74,35,MSC,5,1,0,18,51.02,36.54,0
75,26,MSC,96,14,2,7,65.93,63.31,1
76,47,MBA,78,7,12,29,70.34,88.85,1
77,23,BSC,24,9,14,19,90.82,63.54,1
78,47,BSC,66,16,2,20,56.52,56.83,0
79,28,MSC,23,7,10,8,73.31,44.36,0
80,26,B.Tech,25,17,13,13,57.85,44.43,0
81,47,MSC,59,19,3,7,64.45,45.93,0
82,42,BBA,65,15,14,2,51.97,45.86,0
83,62,MBA,52,9,3,8,90.01,61.46,1
84,31,BSC,63,4,8,29,95.34,83.56,1
85,38,MBA,81,0,11,2,54.31,58.81,0
86,43,MSC,17,2,12,10,75.26,43.73,0
87,45,MBA,13,19,8,1,62.71,42.93,0
88,38,BBA,82,7,14,5,65.32,64.99,1
89,38,MBA,41,8,6,23,79.38,73.32,1
90,44,M.Tech,81,15,6,3,90.52,81.47,1
91,29,BBA,14,0,14,14,98.02,60.27,1
92,55,BBA,33,17,7,4,99.26,68.9,1
93,52,MSC,16,18,10,9,79.99,47.83,0
94,39,PhD,21,1,14,8,63.76,53.0,0
95,45,M.Tech,69,13,9,6,66.9,65.07,1
96,40,BSC,96,10,2,4,71.17,71.21,1
97,44,MBA,73,3,8,11,92.3,76.53,1
98,64,MBA,56,1,10,24,65.07,67.7,1
99,24,MSC,71,16,11,3,61.01,60.67,1
100,53,M.Tech,49,9,8,21,51.27,63.94,1
101,45,B.Tech,77,3,8,18,68.19,82.83,1
102,41,MSC,98,0,10,10,72.42,72.47,1
103,33,PhD,27,6,3,8,65.02,47.28,0
104,37,B.Tech,24,6,10,8,88.51,58.6,0
105,23,B.Tech,71,16,10,2,60.11,64.46,1
106,36,MBA,60,12,12,26,88.92,70.43,1
107,27,MSC,53,7,4,13,83.57,74.35,1
108,49,PhD,13,4,2,28,92.22,63.44,1
109,30,M.Tech,57,2,6,19,84.07,63.98,1
110,49,BSC,84,15,14,14,57.02,76.33,1
111,47,B.Tech,3,0,8,10,82.9,52.83,0
112,23,MSC,43,12,11,20,60.11,64.13,1
113,36,MBA,93,10,3,15,96.46,85.14,1
114,34,B.Tech,23,15,13,10,58.33,32.54,0
115,58,BBA,29,14,0,23,68.48,45.76,0
116,26,BBA,91,13,7,20,85.42,77.5,1
117,36,BSC,82,18,11,25,51.99,63.53,1
118,24,MBA,19,16,14,22,59.86,41.82,0
119,50,MSC,13,19,4,22,76.37,59.45,0
120,64,M.Tech,5,9,10,21,92.59,64.75,1
121,44,BSC,21,19,12,10,77.95,57.05,0
122,58,MSC,77,0,10,11,93.51,74.86,1
123,48,B.Tech,32,3,10,11,53.25,49.07,0
124,43,BBA,85,1,11,6,92.38,75.58,1
125,61,BBA,48,11,11,6,89.98,61.02,1
126,44,MBA,84,9,1,28,69.97,86.6,1
127,59,BSC,36,10,10,5,67.57,42.72,0
128,49,M.Tech,96,10,11,20,61.38,80.27,1
129,33,MBA,73,9,13,22,82.9,83.32,1
130,59,MBA,74,8,8,26,63.84,66.63,1
131,25,BSC,55,7,2,10,55.29,50.87,0
132,48,BSC,6,1,9,2,84.23,51.54,0
133,63,MBA,7,14,6,29,92.53,51.98,0
134,46,BSC,30,13,10,18,92.88,57.8,0
135,42,MSC,52,19,6,29,58.81,69.62,1
136,50,M.Tech,55,6,10,20,59.61,66.06,1
137,57,MBA,91,4,3,14,87.77,81.18,1
138,57,MSC,18,12,4,13,59.73,38.85,0
139,60,BSC,10,10,3,23,90.86,64.16,1
140,36,BSC,28,16,7,24,51.39,45.92,0
141,56,PhD,97,10,10,4,76.34,71.91,1
142,62,BSC,91,18,4,14,91.87,85.9,1
143,27,M.Tech,52,2,13,7,82.97,56.16,0
144,36,MBA,82,1,6,4,62.59,68.73,1
145,25,M.Tech,79,15,8,18,53.34,55.63,0
146,64,BSC,70,0,0,15,64.74,59.24,0
147,27,MSC,79,7,12,19,97.91,83.01,1
148,51,B.Tech,36,13,7,29,60.61,51.6,0
149,33,MBA,45,11,14,1,66.84,46.85,0
150,32,MSC,63,4,13,13,53.66,67.34,1
151,29,PhD,55,3,8,13,62.53,53.32,0
152,36,MSC,81,3,12,2,99.42,71.8,1
153,40,MSC,82,9,8,10,51.37,62.41,1
154,48,B.Tech,66,11,1,24,99.26,89.34,1
155,55,B.Tech,77,9,9,6,88.84,84.26,1
156,30,BSC,31,5,8,28,54.31,59.64,0
157,38,BBA,80,5,13,21,60.21,83.48,1
158,45,M.Tech,40,18,6,28,63.39,52.68,0
159,35,BBA,74,16,6,16,59.23,55.05,0
160,37,MSC,92,14,9,6,71.13,65.66,1
161,48,BBA,59,15,6,11,58.88,59.66,0
162,60,MSC,42,10,7,29,53.21,59.99,0
163,40,BSC,38,8,2,8,80.25,55.52,0
164,53,PhD,38,7,5,24,97.72,81.95,1
165,35,MSC,27,3,12,13,73.05,49.83,0
166,27,MSC,72,17,6,4,86.97,72.9,1
167,35,B.Tech,72,6,10,18,57.21,72.61,1
168,63,B.Tech,90,7,9,24,99.17,98.22,1
169,29,M.Tech,88,13,3,29,84.1,91.82,1
170,45,PhD,32,13,14,10,69.96,47.89,0
171,41,MBA,76,7,1,18,58.48,59.5,0
172,62,BBA,4,6,4,23,57.96,48.03,0
173,47,BBA,64,11,4,18,71.94,65.38,1
174,26,BSC,37,4,9,24,78.55,72.03,1
175,62,M.Tech,84,16,5,24,65.77,82.45,1
176,23,BBA,18,13,2,19,52.87,48.81,0
177,32,M.Tech,38,7,1,2,63.46,38.01,0
178,32,MBA,47,12,6,29,52.83,66.33,1
179,38,BBA,92,15,14,10,71.59,86.05,1
180,47,B.Tech,62,8,12,10,71.26,64.98,1
181,21,B.Tech,2,17,12,28,63.05,39.07,0
182,38,B.Tech,53,10,0,13,97.16,77.08,1
183,36,B.Tech,80,10,4,16,80.68,70.68,1
184,61,M.Tech,11,18,12,21,61.89,48.71,0
185,34,PhD,98,3,2,6,79.52,85.35,1
186,56,M.Tech,87,19,11,4,76.7,68.09,1
187,46,MBA,34,19,4,13,84.63,56.31,0
188,43,BBA,23,1,11,24,72.48,60.67,1
189,32,MBA,97,7,5,1,57.02,58.01,0
190,40,MSC,14,2,11,14,70.11,46.59,0
191,51,MSC,17,16,11,22,77.16,62.15,1
192,54,PhD,79,2,3,8,65.94,60.4,1
193,43,MSC,41,3,1,1,64.84,41.93,0
194,61,MSC,81,2,12,21,75.36,76.28,1
195,45,M.Tech,37,3,3,3,94.38,62.87,1
196,41,MSC,81,10,12,29,82.61,88.6,1
197,51,BSC,81,2,0,17,87.79,86.34,1
198,60,MBA,50,4,14,23,86.73,79.33,1
199,55,MBA,57,8,5,2,50.97,60.14,1
200,40,PhD,17,6,1,28,90.59,53.27,0
201,25,MBA,51,16,9,23,62.55,54.23,0
202,47,B.Tech,47,5,11,17,50.79,55.93,0
203,43,M.Tech,84,1,2,22,88.52,75.22,1
204,53,MBA,46,11,7,24,95.54,78.29,1
205,46,PhD,44,11,2,21,90.14,59.94,0
206,54,B.Tech,47,1,3,24,64.77,65.79,1
207,44,BSC,78,9,8,7,74.87,71.18,1
208,22,B.Tech,23,15,10,25,50.87,45.09,0
209,49,B.Tech,50,13,3,25,71.39,58.34,0
210,30,M.Tech,30,6,13,17,56.3,43.1,0
211,64,BSC,70,2,2,1,63.68,55.58,0
212,26,MSC,89,6,4,26,96.95,91.76,1
213,45,MSC,25,17,11,7,93.58,48.34,0
214,37,PhD,66,15,1,14,64.95,57.36,0
215,58,M.Tech,82,16,8,2,65.14,71.56,1
216,26,BSC,80,0,5,6,55.89,62.15,1
217,51,MSC,5,4,0,12,54.44,43.15,0
218,45,MBA,68,11,5,20,62.22,76.03,1
219,29,M.Tech,99,10,3,9,81.05,85.03,1
220,49,MSC,49,7,1,16,71.27,67.8,1
221,40,M.Tech,27,10,7,16,72.74,45.96,0
222,41,MSC,29,19,9,19,77.14,56.01,0
223,25,B.Tech,18,3,8,23,94.72,55.93,0
224,41,BBA,15,6,5,22,66.77,56.36,0
225,35,BSC,60,3,10,1,56.37,61.57,1
226,61,M.Tech,72,10,14,10,98.38,78.08,1
227,24,PhD,11,5,0,13,94.53,51.04,0
228,43,B.Tech,8,13,0,7,96.84,50.69,0
229,23,MBA,37,5,6,17,63.97,57.87,0
230,51,M.Tech,40,5,12,5,74.88,60.14,1
231,37,BBA,96,6,10,4,71.41,83.85,1
232,37,MBA,50,6,4,28,92.02,83.84,1
233,60,MSC,27,15,0,1,61.29,44.68,0
234,59,B.Tech,21,6,4,7,81.79,43.71,0
235,61,MBA,90,17,8,5,77.45,85.24,1
236,64,BBA,46,12,5,13,55.81,44.36,0
237,51,BSC,68,16,8,13,51.59,53.47,0
238,51,BBA,78,2,5,6,84.54,83.15,1
239,41,BSC,23,2,11,9,68.01,49.88,0
240,56,BBA,52,0,4,25,74.93,67.8,1
241,44,BBA,85,0,2,9,68.11,79.71,1
242,28,BSC,40,7,9,6,98.94,65.0,1
243,56,M.Tech,3,18,9,4,52.71,27.99,0
244,33,M.Tech,75,12,11,24,69.26,80.14,1
245,35,M.Tech,30,19,11,17,84.97,62.83,1
246,40,BSC,28,15,1,28,59.45,58.75,0
247,41,B.Tech,78,16,13,20,83.41,83.72,1
248,40,B.Tech,83,17,8,23,79.59,87.78,1
249,44,MSC,14,1,5,28,85.03,70.03,1
250,39,PhD,38,3,9,23,98.27,63.22,1
251,38,MBA,3,6,10,5,86.93,35.63,0
252,64,MSC,71,7,7,16,96.31,87.84,1
253,34,BSC,31,16,11,1,52.25,36.67,0
254,56,PhD,83,5,10,18,62.16,66.21,1
255,57,MBA,12,11,13,13,89.99,57.52,0
256,57,MBA,4,4,9,17,92.08,52.44,0
257,42,MBA,85,18,13,18,73.75,83.74,1
258,37,BSC,78,19,9,3,53.48,53.27,0
259,37,BBA,16,14,8,19,62.6,37.83,0
260,63,B.Tech,22,10,10,8,51.15,41.61,0
261,46,BSC,20,13,2,17,96.06,63.68,1
262,53,B.Tech,83,13,5,8,87.62,83.51,1
263,32,BBA,48,2,4,17,59.9,58.38,0
264,63,M.Tech,65,5,3,14,54.21,64.25,1
265,64,BSC,66,8,2,18,92.73,70.29,1
266,53,M.Tech,1,19,10,7,71.14,39.77,0
267,56,M.Tech,63,19,10,9,59.63,61.99,1
268,62,MSC,74,10,13,25,74.43,71.03,1
269,54,MSC,14,15,1,1,58.52,41.67,0
270,62,BBA,88,3,11,10,54.84,67.3,1
271,37,M.Tech,16,6,9,23,68.8,59.98,0
272,48,MBA,64,8,6,26,66.57,61.12,1
273,58,BSC,79,3,0,17,82.98,72.59,1
274,25,B.Tech,88,18,0,20,93.13,90.74,1
275,48,MBA,7,15,8,25,94.32,58.11,0
276,44,B.Tech,22,14,10,1,50.48,27.57,0
277,43,BSC,61,4,1,27,72.04,78.05,1
278,63,B.Tech,52,10,6,5,91.09,67.62,1
279,25,MBA,3,4,10,13,52.18,35.41,0
280,27,M.Tech,35,12,11,15,57.96,52.97,0
281,29,BSC,78,12,7,22,92.45,83.04,1
282,53,BSC,29,14,3,7,88.96,46.83,0
283,46,M.Tech,51,13,9,5,69.25,52.95,0
284,54,PhD,96,9,2,19,92.59,93.34,1
285,25,M.Tech,44,19,0,6,50.5,42.32,0
286,39,PhD,22,16,12,5,83.42,46.03,0
287,33,MBA,7,7,11,14,54.21,35.39,0
288,64,B.Tech,63,19,4,26,68.8,62.44,1
289,42,M.Tech,15,15,3,13,51.5,28.47,0
290,43,PhD,7,14,12,24,80.46,57.43,0
291,55,B.Tech,42,18,10,9,57.87,48.71,0
292,48,BSC,88,5,3,1,58.53,64.19,1
293,47,M.Tech,11,7,12,25,52.92,39.87,0
294,30,MSC,17,2,4,20,74.74,42.54,0
295,54,B.Tech,27,14,2,4,65.37,47.59,0
296,31,BSC,17,10,5,3,74.59,48.92,0
297,29,BSC,52,17,10,26,91.42,74.33,1
298,27,BSC,60,11,13,16,72.37,56.31,0
299,29,PhD,36,2,3,9,77.31,47.89,0
300,23,M.Tech,44,9,6,17,62.22,49.06,0
301,57,M.Tech,99,7,5,10,93.04,79.36,1
302,21,BSC,13,13,1,5,82.21,44.97,0
303,47,M.Tech,58,18,3,22,58.52,54.95,0
304,36,BSC,26,17,5,27,95.29,70.17,1
305,43,BBA,66,6,14,7,79.62,75.3,1
306,49,B.Tech,65,18,9,6,63.13,56.58,0
307,58,MSC,49,16,11,1,76.64,67.4,1
308,46,B.Tech,29,2,4,24,98.38,66.68,1
309,43,B.Tech,30,15,0,6,93.96,48.41,0
310,44,PhD,68,13,7,3,94.44,73.33,1
311,38,BSC,88,0,5,18,66.83,74.62,1
312,29,B.Tech,29,9,11,11,84.57,60.25,1
313,32,BSC,6,15,1,15,56.83,43.79,0
314,31,MBA,83,2,1,2,80.09,72.22,1
315,32,M.Tech,94,7,11,5,83.13,88.25,1
316,43,BBA,50,1,4,17,64.02,61.94,1
317,30,MSC,25,5,5,26,59.68,53.73,0
318,36,BSC,48,19,1,14,98.23,69.26,1
319,42,BBA,2,7,5,19,60.32,40.48,0
320,41,BBA,98,3,0,24,68.87,76.28,1
321,30,BSC,79,4,8,15,63.03,63.52,1
322,55,PhD,46,8,0,26,79.36,75.12,1
323,38,PhD,48,14,9,8,74.17,56.6,0
324,52,BBA,31,1,5,23,58.16,56.5,0
325,48,BBA,52,16,1,24,78.9,63.09,1
326,23,M.Tech,95,0,0,9,80.92,82.84,1
327,21,PhD,3,0,12,18,99.63,48.09,0
328,26,BSC,77,10,0,19,95.85,81.06,1
329,33,PhD,20,4,8,13,55.62,45.16,0
330,41,MSC,2,8,10,20,54.77,47.65,0
331,42,MBA,91,12,4,6,93.86,75.58,1
332,62,PhD,4,3,6,16,64.64,46.37,0
333,24,MSC,2,10,8,28,78.72,40.53,0
334,25,MSC,94,6,4,23,86.78,93.8,1
335,51,M.Tech,12,11,13,26,92.16,59.7,0
336,64,MBA,16,7,11,28,87.99,64.12,1
337,36,B.Tech,63,18,1,9,58.94,60.3,1
338,57,BBA,97,17,3,24,85.26,88.01,1
339,44,MBA,57,15,10,19,54.57,65.48,1
340,44,PhD,73,15,6,5,76.38,70.35,1
341,27,MBA,75,15,11,24,51.73,73.73,1
342,61,MSC,99,15,14,8,54.94,82.84,1
343,40,MBA,86,10,9,22,65.86,83.47,1
344,62,PhD,86,17,10,4,69.94,67.87,1
345,27,MSC,3,3,5,19,75.26,52.89,0
346,61,BBA,2,7,10,23,90.21,48.44,0
347,49,BBA,34,14,3,10,64.92,43.77,0
348,40,M.Tech,4,11,1,2,65.75,39.92,0
349,60,B.Tech,39,18,2,15,91.98,69.24,1
350,36,BBA,19,11,4,23,83.43,61.13,1
351,60,B.Tech,72,19,6,5,59.97,68.68,1
352,26,BBA,11,0,7,29,71.01,54.49,0
353,50,PhD,71,10,14,2,65.67,54.19,0
354,40,BSC,60,6,4,11,51.48,54.17,0
355,52,MSC,71,4,14,22,86.28,81.7,1
356,42,B.Tech,23,7,11,14,56.93,42.97,0
357,25,B.Tech,38,4,7,2,81.0,58.67,0
358,25,B.Tech,92,17,13,20,51.5,63.72,1
359,37,B.Tech,14,15,2,16,78.08,42.07,0
360,26,MBA,96,0,4,23,57.95,69.8,1
361,34,BSC,95,5,3,16,82.11,90.49,1
362,60,PhD,43,12,2,22,81.53,60.5,1
363,63,MBA,39,18,0,28,92.24,75.43,1
364,25,BSC,81,15,9,14,70.28,69.13,1
365,40,BBA,97,9,8,13,90.5,95.68,1
366,46,MSC,93,16,10,22,68.72,79.06,1
367,28,B.Tech,50,4,0,22,67.33,51.6,0
368,51,B.Tech,72,8,5,1,89.84,61.39,1
369,59,M.Tech,83,3,12,16,93.89,78.47,1
370,59,B.Tech,19,17,4,24,89.15,58.29,0
371,29,PhD,92,18,6,15,74.73,72.9,1
372,55,B.Tech,89,19,9,22,69.96,72.6,1
373,54,B.Tech,72,9,14,10,61.26,56.57,0
374,21,BBA,53,16,3,28,65.56,53.99,0
375,46,B.Tech,7,19,13,24,73.58,43.75,0
376,52,B.Tech,76,19,3,13,79.54,75.19,1
377,22,BBA,27,10,3,24,53.34,44.04,0
378,33,MBA,53,15,6,23,98.89,69.37,1
379,36,B.Tech,65,17,10,16,60.73,64.05,1
380,22,B.Tech,13,12,11,23,64.56,46.31,0
381,49,MBA,41,16,2,5,66.02,43.94,0
382,26,MSC,34,4,11,3,58.66,48.74,0
383,31,B.Tech,34,9,13,11,63.28,54.23,0
384,22,BBA,60,4,8,25,54.04,72.39,1
385,34,B.Tech,80,11,7,19,68.96,76.64,1
386,48,MBA,99,3,1,15,90.01,92.62,1
387,49,BSC,74,14,3,25,68.18,69.75,1
388,63,PhD,12,12,8,22,79.36,52.52,0
389,25,MSC,20,19,3,5,72.1,48.73,0
390,46,MSC,35,13,1,23,55.25,41.54,0
391,55,MSC,27,17,1,19,81.26,52.46,0
392,38,BSC,31,15,6,27,87.58,55.62,0
393,48,MBA,37,1,7,13,88.37,55.65,0
394,42,B.Tech,28,16,13,4,55.25,32.08,0
395,48,BSC,94,5,2,2,72.88,71.24,1
396,24,BBA,23,7,2,7,91.05,53.39,0
397,39,BBA,73,4,13,13,81.65,68.07,1
398,28,MSC,17,19,6,27,88.06,63.35,1
399,64,BSC,61,17,3,20,65.57,61.75,1
400,42,PhD,32,6,11,24,58.03,64.84,1
401,39,B.Tech,88,7,12,15,88.14,79.04,1
402,30,BSC,47,10,10,3,74.98,61.94,1
403,36,PhD,35,0,8,23,52.25,44.28,0
404,33,MBA,22,5,8,9,69.37,48.07,0
405,22,B.Tech,30,5,12,24,68.84,63.97,1
406,23,BSC,52,2,4,18,75.58,68.27,1
407,51,MBA,24,18,11,24,91.89,73.43,1
408,44,M.Tech,65,14,13,10,82.45,61.69,1
409,45,M.Tech,55,15,10,29,70.76,60.22,1
410,60,BSC,81,17,14,6,67.16,62.82,1
411,31,PhD,85,5,5,2,78.16,74.24,1
412,63,M.Tech,3,10,0,18,98.42,61.23,1
413,23,MSC,64,11,3,13,87.55,65.61,1
414,34,BSC,57,2,4,4,50.98,45.1,0
415,59,MBA,95,4,7,9,58.77,73.96,1
416,55,BSC,91,6,0,9,86.23,83.87,1
417,42,BBA,40,9,14,5,97.85,61.54,1
418,26,MBA,51,1,10,2,90.02,70.67,1
419,52,PhD,79,2,0,9,86.97,73.14,1
420,63,BBA,73,14,0,14,94.33,80.52,1
421,35,MBA,91,13,8,19,86.51,84.6,1
422,39,PhD,58,3,0,23,83.42,76.66,1
423,32,PhD,48,14,13,21,50.65,47.48,0
424,46,M.Tech,7,2,6,25,55.0,39.74,0
425,39,MSC,44,1,8,12,94.94,60.22,1
426,62,B.Tech,90,3,8,4,94.86,78.97,1
427,29,M.Tech,77,8,7,8,73.25,75.91,1
428,46,B.Tech,51,2,6,20,73.84,58.48,0
429,56,B.Tech,22,0,1,25,63.14,53.05,0
430,41,MSC,55,8,6,4,92.95,75.47,1
431,33,B.Tech,8,19,12,8,52.26,31.17,0
432,58,M.Tech,38,15,7,15,82.86,61.88,1
433,45,PhD,49,5,5,4,62.32,47.57,0
434,22,PhD,58,11,12,24,51.85,67.17,1
435,27,MSC,42,15,1,12,73.45,54.08,0
436,43,BBA,81,17,4,9,79.88,68.46,1
437,39,MSC,14,9,14,20,55.64,51.8,0
438,37,MBA,18,0,2,22,86.81,57.22,0
439,43,B.Tech,1,11,8,29,64.37,41.04,0
440,55,BSC,24,9,8,1,68.44,40.55,0
441,37,B.Tech,51,12,8,26,61.28,56.87,0
442,39,MSC,92,0,13,20,55.05,76.02,1
443,60,PhD,43,3,1,3,78.84,55.01,0
444,52,BSC,46,11,14,21,84.81,73.03,1
445,31,B.Tech,29,0,5,10,86.69,55.93,0
446,27,PhD,29,5,9,25,71.31,62.54,1
447,50,MBA,46,19,1,29,92.28,66.11,1
448,44,B.Tech,46,4,3,4,98.9,65.41,1
449,43,B.Tech,10,5,13,4,56.53,44.56,0
450,52,M.Tech,60,13,0,3,71.9,57.51,0
451,23,M.Tech,87,5,12,29,68.02,75.02,1
452,50,PhD,97,11,1,17,85.75,77.12,1
453,48,BBA,39,0,14,8,80.08,65.47,1
454,55,MSC,81,0,0,22,92.26,81.44,1
455,37,MSC,77,11,10,26,61.9,76.82,1
456,21,BSC,8,3,14,9,56.23,37.89,0
457,31,B.Tech,31,0,14,15,65.75,55.4,0
458,21,BSC,72,12,13,14,91.62,75.34,1
459,51,M.Tech,9,7,13,17,71.41,43.59,0
460,33,M.Tech,66,3,12,2,60.79,62.62,1
461,22,PhD,52,4,3,10,94.43,58.67,0
462,24,B.Tech,87,14,11,29,83.14,76.74,1
463,35,M.Tech,61,2,3,15,58.74,51.55,0
464,58,BBA,94,3,5,7,80.07,87.92,1
465,44,BBA,13,4,7,11,93.83,57.75,0
466,32,MSC,51,7,14,26,67.72,59.05,0
467,21,MBA,40,3,8,18,59.62,59.53,0
468,51,B.Tech,31,8,1,5,93.38,54.3,0
469,61,B.Tech,70,15,9,16,70.66,76.89,1
470,60,MSC,96,17,13,5,58.24,80.3,1
471,37,MBA,78,19,9,17,69.26,73.4,1
472,30,BSC,27,17,7,15,79.67,44.59,0
473,22,M.Tech,95,14,14,2,97.69,91.87,1
474,33,B.Tech,5,4,6,15,55.61,27.32,0
475,45,MSC,82,1,0,23,72.66,88.01,1
476,21,M.Tech,57,16,4,11,50.56,57.61,0
477,26,BBA,43,11,9,10,73.98,47.13,0
478,32,B.Tech,95,16,12,12,70.46,80.97,1
479,53,B.Tech,7,15,12,27,72.85,55.31,0
480,43,BBA,99,5,7,7,95.82,95.38,1
481,53,MBA,50,18,14,13,64.89,64.59,1
482,22,BBA,81,2,11,5,81.39,73.56,1
483,28,PhD,2,13,11,17,50.39,33.53,0
484,49,MSC,2,2,7,20,88.61,47.71,0
485,56,B.Tech,69,7,14,16,86.34,83.2,1
486,40,MBA,92,13,4,26,97.74,84.79,1
487,58,B.Tech,44,6,13,26,53.12,69.89,1
488,43,BBA,76,13,12,17,88.5,87.69,1
489,51,BSC,33,10,11,6,92.52,69.05,1
490,50,PhD,98,9,10,17,71.67,78.67,1
491,56,BBA,83,6,4,15,58.96,72.87,1
492,42,M.Tech,33,3,0,10,72.85,52.19,0
493,46,B.Tech,86,19,1,24,87.85,84.72,1
494,44,BSC,85,10,1,22,99.09,81.91,1
495,58,BSC,11,3,8,10,51.64,38.39,0
496,36,MBA,53,19,5,5,65.37,53.1,0
497,62,BBA,72,1,1,28,61.21,78.39,1
498,52,BSC,94,2,13,6,86.25,84.52,1
499,63,PhD,92,9,7,9,69.94,85.99,1
500,33,MSC,56,8,6,5,76.13,55.9,0
501,39,MSC,25,0,3,18,83.0,55.97,0
502,41,M.Tech,5,17,14,6,67.17,33.79,0
503,52,BBA,85,1,14,17,86.25,90.9,1
504,61,PhD,94,7,2,2,57.01,62.36,1
505,62,BBA,9,1,11,17,90.04,60.73,1
506,63,BSC,96,0,13,29,65.95,98.0,1
507,48,MSC,7,7,13,13,80.69,55.38,0
508,42,BBA,84,14,2,13,70.08,71.89,1
509,40,PhD,89,4,14,13,64.65,85.25,1
510,36,PhD,75,10,5,15,75.19,67.06,1
511,33,MBA,6,17,7,17,99.03,55.36,0
512,47,MBA,44,12,14,18,99.43,67.39,1
513,61,MBA,73,1,12,23,56.37,79.89,1
514,42,MSC,42,16,13,28,78.18,66.65,1
515,49,M.Tech,87,15,1,12,69.56,68.74,1
516,41,B.Tech,79,1,13,19,90.81,83.41,1
517,43,PhD,19,6,0,21,80.44,60.37,1
518,55,MBA,27,16,10,13,94.04,60.72,1
519,30,B.Tech,16,17,3,26,84.53,45.43,0
520,56,BSC,76,14,1,4,70.0,67.56,1
521,42,MBA,87,17,2,8,63.09,73.65,1
